polling_station_number,address,district_number
24/8,"Liceul Teoretic seral nr.2, (tel. 022 563340)",24
24/9,"Direcţia Educaţie, Tineret şi Sport, sec. Botanica, (tel. 022 765421)",24
24/10,"Şcoala primară grădiniţă nr.120, (tel. 022 767655)",24
24/11,"Gimnaziul ""Decebal"", (tel. 022 768424)",24
24/12,"Liceul Teoretic cu profil sportiv ”Gloria”, (tel. 022 769451)",24
24/13,"Liceul Teoretic ""RAMBAM URT"", (tel. 022 775994)",24
24/14,"Colegiul de Arte Plastice ""Alexandru Plămădeală"" din Chișinău, (tel. 022 766639)",24
24/15,"Liceul Teoretic cu profil sportiv ”Gloria”, (tel. 022 769451)",24
24/16,"Instituția Medico-Sanitară Publică Centrul Consultativ Diagnostic, Asociația Medicală Teritorială Botanica, (tel. 022 528189)",24
24/17,"Liceul Teoretic ""Mihai Eminescu"", (tel. 022 553096)",24
24/18,"Instituția de educație timpurie nr.112, (tel. 022 556011)",24
24/19,"Instituția de educație timpurie nr.96, (tel. 022 554201)",24
24/20,"Institutul de Formare Continuă, (tel. 022 854693)",24
24/21,"Centrul Academic Internaţional Eminescu, (tel. 022 771403)",24
24/22,"Liceul Teoretic ”Liviu Rebreanu”, str. Hristo Botev nr.9/2, (tel. 022 771611)",24
24/23,"Liceul Teoretic ”Iulia Hașdeu”, (tel. 022 527171)",24
24/24,"Liceul Teoretic cu profil de arte ”Elena Alistar”, (tel. 022 557008)",24
24/25,"Gimnaziul ”Nicolae H. Costin”, (tel. 022 550117)",24
24/26,"Liceul Teoretic ”Iulia Hașdeu”, (tel. 022 551330, 022 557368)",24
24/27,"Î.S. Alimentaţie publică ""Bucuria-EL"", (tel. 022 555593)",24
24/28,"Școala Profesională nr.3 mun. Chișinău, (tel. 022 531464)",24
24/29,"Întreprinderea Municipală de Gestionare a Fondului Locativ nr.1, (tel. 022 523218)",24
24/30,"Centrul sportiv de pregătire a loturilor naţionale, (tel. 022 522799, 022 553095)",24
25/1,Liceul Internat Republican cu Profil Sportiv,25
25/2,"Liceul Teoretic ""Bogdan Petriceicu Haşdeu"", (tel. 022 521007)",25
25/3,"Institutul de Cercetări Ştiinţifice în Construcții ""INCERCOM"" Î.S., (tel. 022 775714)",25
25/4,"Liceul Teoretic ""Liviu Rebreanu"", (tel. 022 761777)",25
25/5,"Centrul de Excelență în educație artistică ""Ştefan Neaga"" din Chișinău",25
25/6,"Liceul Teoretic ""Tudor Vladimirescu"", (tel. 022 551049)",25
25/7,"Oficiul poştal nr. 2002, (tel. 022 554310)",25
25/8,Liceul Teoretic „Tudor Vladimirescu”,25
25/9,"Î.S. ""Calea Ferată a Moldovei"", Palatul de Cultură a Feroviarilor, (tel. 022 833843, 022 832756)",25
25/10,"Instituția Medico-Sanitară Publică Spitalul Clinic Municipal nr.1, (tel. 022 809560)",25
25/11,"Instituția de educație timpurie nr.91, (tel. 022 551572)",25
25/12,"Sanatoriul preventoriu de bază ""Constructorul"", (tel. 022 527093)",25
25/13,"Casa de Cultură a Universităţii de Stat din Moldova, (tel. 022 270491)",25
25/14,Şcoala auxiliară nr.7,25
25/15,Blocul administrativ al Direcţiei Generale pentru Administrarea Clădirilor Guvernului RM,25
25/16,"Ministerul Sănătăţii, Muncii și Protecţiei Sociale",25
25/17,"Liceul Teoretic ""Mihai Viteazul"", (tel. 022 733996)",25
25/18,"Casa Naţională de Asigurări Sociale a Republicii Moldova, (tel. 022 281108)",25
25/19,"IP Gimnaziul „Dumitru Matcovschi”, str. George Meniuc nr. 22",25
25/20,"Facultatea de Geografie, Facultatea de Biologie şi Chimie, Universitatea de Stat din Tiraspol, (tel. 022 723353)",25
25/21,"Centrul Naţional de Sănătate Publică, (tel. 022 574609)",25
25/22,Centrul de Excelență în construcții (tel. 022 723931),25
25/23,"Centrul de Excelență în Medicină şi Farmacie, (tel. 022 728511)",25
25/24,"Facultatea de Farmaceutică a Universităţii de Statde Medicină şi Farmacie ""N. Testemiţanu"", (tel. 022 728822)",25
25/25,"Blocul didactic nr.1 ""L. Cobâleanschi"" al Universităţii de Stat de Medicină şi Farmacie ""N. Testemiţeanu"", (tel. 022 205428)",25
25/26,"Gimnaziul-internat nr.3, (tel. 022 727963)",25
25/27,"Liceul Teoretic ""Vasile Lupu"", (tel. 022 765522)",25
25/28,"Liceul Teoretic ""Vasile Lupu"", (tel. 022 765522)",25
25/29,"Liceul Teoretic cu profil de arte ""Nicolae Sulac"", (tel. 022 729325)",25
25/30,"Instituţia Medico-sanitară Publică, Spitalul Clinic Republican, (tel. 022 403686)",25
25/31,"Instituţia Medico-sanitară Publică, Institutul Oncologic, (tel. 022 725588)",25
26/1,"Şcoala Profesională nr.9, (tel. 022 750760)",26
26/2,"Liceul Teoretic ""Neciul - Leviţki"", (tel. 022 744522)",26
26/3,"Asociația de Proprietari de Locuințe Private - 53/408, (tel. 022 592361)",26
26/4,"Liceul Teoretic ""Doina și Ion Aldea Teodorovici"", (tel. 022 745747)",26
26/5,Școala profesională nr. 2,26
26/6,"Școala sportivă ""Speranța"", (tel. 022 746519)",26
26/7,"Instituția de educație timpurie nr. 85, str. Muzicescu, 2A",26
26/8,"Centrul medicilor de familie nr.4, (tel. 022 748275)",26
26/9,"Căminul nr.3A al UPSM ""I. Creangă"", (tel. 022 751583)",26
26/10,Bloc de studii a UPSM ”I. Creangă”,26
26/11,"Creşa-grădiniţă nr.20, (tel. 022 715287)",26
26/12,"Gimnaziul nr. 86, str. Vasile Lupu, 14",26
26/13,"Universitatea de Stat din Moldova, str. M. Kogălniceanu 67/3 (tel. 022 577467)",26
26/14,"Liceul Teoretic ""N.V.Gogol"", (tel. 022 238382)",26
26/15,"Liceul Teoretic ""Spiru Haret"", (tel. 022 226090)",26
26/16,"Liceul Teoretic ""Antioh Cantemir"", (tel. 022 233966)",26
26/17,"Grădiniţa de copii nr.164, (tel. 022 518264)",26
26/18,"Centrul Național Științifico-Practic Medicina de Urgență, (tel. 022 250703)",26
26/19,"Liceul Teoretic ""Academicianul C. Sibirschi"", (tel. 022 729035)",26
26/20,"Creşa-grădiniţă nr.59, (tel. 022 735441)",26
26/21,"Centrul Republican de Reabilitare a Asociației Nevăzătorilor din Moldova, Drumul Viilor nr. 36/2",26
26/22,"Biblioteca Ştiinţifică Centrală ""Andrei Lupan"", (tel. 022 727026)",26
26/23,"Institutul de Zoologie al Academiei de Ştiinţe a Republicii Moldova, (tel. 022 739865)",26
26/24,"Uzina Experimentală""ASELTEH"" a Academiei de Ştiinţe a Republicii Moldova, (tel. 022 281410)",26
26/25,"Casa Radio, ""Teleradio Moldova"", (tel. 022 721758)",26
26/26,"Liceul Teoretic ""Universul"", (tel. 022 738207)",26
26/27,"Combinatul Republican de Instruire Auto, (tel. 022 725241)",26
26/28,"Institutul de Proiectări pentru Organizarea Teritoriului al Agenţiei de Stat, Relaţii Funciare şi Cadastru, (tel. 022 284431)",26
27/1,"Liceul Teoretic ""Alexandr Puşkin"", (tel. 022 222705)",27
27/2,"Institutul de Proiectări Drumuri Auto, (tel. 022 743264)",27
27/3,"Universitatea Pedagogică de Stat ""Ion Creangă"", (tel. 022 747208)",27
27/4,"S.A. ""Pielart"", (tel. 022 582601)",27
27/5,"Liceul Teoretic ""Principesa Natalia Dadiani"", (tel. 022 747519)",27
27/6,"Grădiniţa de copii nr.52, (tel. 022 597866)",27
27/7,"Şcoala de muzică pentru copii nr.3, (tel. 022 744464)",27
27/8,"Instituția preșcolară nr.52, Drumul Crucii , 99/1, (tel. 022 582867)",27
27/9,"Şcoala primară nr .91 ""Antonin Ursu"", (tel. 022 749466)",27
27/10,"Liceul ""Anton Cehov"", (tel. 022 581832)",27
27/11,"Liceul ""Liviu Deleanu"", (tel. 022 514408)",27
27/12,"Liceul Sportiv, (tel. 022 581891)",27
27/13,"Liceul ""Liviu Deleanu"", (tel. 022 516373)",27
27/14,"Liceul Teoretic ""Petru Rareş"", (tel. 022 518453)",27
27/15,"Liceul Teoretic ""Onisifor Ghibu"", (tel. 022 518231)",27
27/16,"Grădiniţa de copii nr.158, (tel. 022 511268)",27
27/17,"Şcoala Profesională nr.6, (tel. 022 594822)",27
27/18,"Grădiniţa de copii nr.145, (tel. 022 580884)",27
27/19,"Căminul nr.5 al Universității Pedagogice de Stat ""Ion Creangă"", (tel. 022 581511)",27
27/20,"Căminul nr.4 al Universităţii Pedagogice de Stat ""I. Creangă"", (tel. 022 581508)",27
27/21,"Şcoala Profesională nr.1, (tel. 022 742949)",27
27/22,"Liceul Teoretic cu Profil Real ""M. Marinciuc"", (tel. 022 746683)",27
27/23,"Centrul de Creație Tehnică, (tel. 022 592819)",27
27/24,"Grădiniţa de copii nr.119, (tel. 022 745449)",27
27/25,"Academia de Studii Economice din Moldova, blocul ""B"", (tel. 022 245114)",27
28/1,"Liceul Teoretic ""George Călinescu"", (tel. 022 469775)",28
28/2,"Liceul Teoretic ""George Călinescu"", (tel. 022 466918)",28
28/3,"Şcoala primară a Liceului Teoretic ""George Călinescu"", (tel. 022 315027)",28
28/4,"Institutul de Ştiinţe ale Educaţiei, (tel. 022 400753)",28
28/5,"Institutul de Ştiinţe ale Educaţiei, (tel. 022 466921)",28
28/6,"Centrul comunitar pentru copii şi tineri ""Andrieş"", (tel. 022 464471)",28
28/7,"Liceul Teoretic ""Mihail Lomonosov"", (tel. 022 466931)",28
28/8,"Grădiniţa nr.57, (tel. 022 468184)",28
28/9,"Întreprinderea Municipală pentru Gestionarea Fondului Locativ nr.21, (tel. 022 460957)",28
28/10,"Colegiul Tehnologic din Chişinău, (tel. 022 434786)",28
28/11,"Liceul Teoretic ""Ştefan cel Mare"", (tel. 022 442142)",28
28/12,"Liceul Teoretic ""Natalia Gheorghiu"", (tel. 022 446367)",28
28/13,"Liceul Teoretic ""Mihail Kogălniceanu"", (tel. 022 498285)",28
28/14,"Liceul Teoretic ""Nicolae Milescu Spătarul"", (tel. 022 325969)",28
28/15,"Liceul Teoretic ""Nicolae Milescu Spătarul"", (tel. 022 325911)",28
28/16,"Universitatea Slavonă, str. Florilor, 28/1, (tel. 022 449784)",28
28/17,"Blocul de Studii nr.5 al Universităţii Tehnice din Moldova, (tel. 022 509902)",28
28/18,"Liceul Teoretic ""Ion Creangă"", (tel. 022 323632)",28
28/19,"Liceul Teoretic ""Ion Creangă"", (tel. 022 321655)",28
28/20,"Liceul Teoretic ""Matei Basarab"", (tel. 022 323433)",28
28/21,"Gimnaziul teatral ″I. L. Caragiale″, (tel. 022 310261)",28
28/22,"Institutul de Stat de Proiectări ""Chişinăuproiect"", (tel. 022 443291)",28
28/23,"Liceul Teoretic ""Matei Basarab"", (tel. 022 322057)",28
28/24,"Gimnaziul ""Taras Șevceno"", (tel. 022 445066)",28
28/25,"Centrul de Excelență în Economie și Finanțe, (tel. 022 435055)",28
29/1,"Secţia de întreţinere a Întreprinderii de Stat ""Calea Ferată din Moldova"", (tel. 022 832107)",29
29/2,"Centrul de Creaţie pentru Copii şi Tineret ""Politehnic"", (tel. 022 270063)",29
29/3,"Căminul nr. 2 al Centrului de Excelenţă în Energetică şi Electronică, (tel. 022 543403)",29
29/4,"Academia de Ştiinţe a Republicii Moldova, (tel. 022 546410)",29
29/5,"Întreprinderea Municipală de Gestionare a Fondului Locativ nr.9, (tel. 022 547114)",29
29/6,"Instituția de educație timpurie nr.210, (tel. 022 279271)",29
29/7,"Teatrul Satiricus ""Ion Luca Caragiale"", (tel. 022 221513)",29
29/8,"Liceul Teoretic ”Minerva”, str.31 August 1989 nr. 50",29
29/9,"Direcţia Întreprinderii de Stat ""Calea Ferată din Moldova"", (tel. 022 225516)",29
29/10,"Asociaţia Medicală Teritorială Centru, Centrul Consultativ Diagnostic, (tel. 022 545632)",29
29/11,"Centrul de Cultură și Istorie Militară, (tel. 022 270434)",29
29/12,"Centrul de Creaţie a Copiilor ""Floarea Soarelui"", (tel. 022 287849)",29
29/13,"Blocul de studii al Universităţii Agrare de Stat din Moldova, (tel. 022 432358)",29
29/14,"Blocul de studii al Universităţii Agrare de Stat din Moldova, (tel. 022 432659)",29
29/15,"Grădinița nr.51, (tel. 022 462068)",29
29/16,"Şcoala primară a Liceului Teoretic ""Alexandru Ioan Cuza"", (tel. 022 460406)",29
29/17,"Liceul Teoretic ""Alexandru Ioan Cuza"", (tel. 022 468909)",29
29/18,"Biblioteca de Arte ""Tudor Arghezi"", (tel. 022 274575)",29
29/19,"Liceul Teoretic ""Kiril şi Metodiu"", (tel. 022 544272)",29
29/20,"Liceul Teoretic ""Miguel de Cervantes"", str. Avram Iancu, 36",29
29/21,"Liceul Teoretic ""Miguel de Cervantes"", str. Grigore Ureche, 30",29
29/22,"Direcţia Municipală pentru Protecţia Drepturilor Copilului, (tel. 022 226093)",29
29/23,"Centrul Republican Experimental de Reabilitare, Protezare şi Ortopedie CREPOR, (tel. 022 229922)",29
29/24,"Colegiul Pedagogic""Alexei Mateevici"", (tel. 022 242287)",29
29/25,"Academia de Studii Economice din Moldova, blocul ""A"", (tel. 022 222732)",29
29/26,"Blocul administrativ din str. C. Tănase, str. Constantin Tănase, 6",29
29/27,"Centrul comunitar pentru copii și tineri ″Atlant″ str. Romană, 19/1",29
29/28,"Cantina Societății Comerciale ""Electromaşina"" SRL, (tel. 022 228718)",29
29/29,"Liceul Teoretic ""George Meniuc"", (tel. 022 291700)",29
29/30,"Liceul Teoretic ""George Meniuc"", (tel. 022 291700)",29
30/1,"Liceul Teoretic ""Ginta Latină"" (bl B), (tel. 022 342155), str. M. Sadoveanu, 4/8",30
30/2,"Liceul Teoretic ""Ginta Latină"" (bl A), (tel. 022 340300), str. Ginta Latină, 9",30
30/3,"Liceul Teoretic ""Ginta Latină"" (bl A), (tel. 022 310259), str. Ginta Latină, 9",30
30/4,"Liceul Teoretic ""Ginta Latină"" (bl A), (tel. 022 425184), str. Ginta Latină, 9",30
30/5,"Liceul Teoretic cu profil sportiv nr.2, (tel. 022 331345)",30
30/6,"Filiala Centrul comunitar ”Convorbitorul”, bd. Mircea cel Bătrân, 7",30
30/7,"Şcoala primară nr.12 ""Anatol Popovici"", (tel. 022 339645)",30
30/8,"Centrul de creaţie pentru copii, (tel. 022 331387)",30
30/9,"Liceul Teoretic ""Petru Zadnipru"", (tel. 022 338654)",30
30/10,"Liceul Teoretic ""Olimp"", (tel. 022 339443)",30
30/11,"Liceul Teoretic ""Olimp"", (tel. 022 339443)",30
30/12,"Grădiniţa-creşă nr.30, str. Petru Zadnipru, 7/1",30
30/13,"Liceul Teoretic ""Constantin Negruzzi"", (tel. 022 482946)",30
30/14,"Liceul Teoretic ""Constantin Negruzzi"", (tel. 022 483019)",30
30/15,"Şcoala primară nr.83 ""Grigore Vieru"", (tel. 022 487790)",30
30/16,"Şcoala primară nr.83 ""Grigore Vieru"", (tel. 022 487794)",30
30/17,"Grădiniţa de copii nr.211, (tel. 022 483269)",30
30/18,"Grădiniţa de copii nr.211, (tel. 022 481476)",30
30/19,"Grădiniţa de copii nr.211, (tel. 022 481476)",30
30/20,"Asociația de Proprietari de Locuințe Private - 54/219, (tel. 022 482265)",30
30/21,"Liceul Teoretic cu profil de arte ""M. Berezovschi"" (bl. ""A""), str. Igor Vieru, 15/4, (tel. 022 482269)",30
30/22,"Liceul Teoretic cu profil de arte ""M. Berezovschi"" (bl. ""A""), str. Igor Vieru, 15/4, (tel. 022 482269)",30
30/23,"Liceul Teoretic cu profil de arte ""M. Berezovschi"" (bl. ""A""), str. Igor Vieru, 15/4, (tel. 022 482269)",30
30/24,"Liceul Teoretic cu profil de arte""Mihail Berezovschi"" (bl ""B"" ), str. Igor Vieru, 17/2",30
30/25,"Centrul de Excelenţă în Energetică şi Electronică, str. M. Sadoveanu, 40/2, (tel. 022 489786, 022  489722)",30
31/1,"Asociația de Proprietari de Locuințe Private - 54/183, (tel. 022 349354)",31
31/2,"Liceul Teoretic ""Petru Zadnipru"", (tel. 022 338654)",31
31/3,"Liceul Teoretic ""Gaudeamus"", (tel. 022 331056)",31
31/4,"Liceul Teoretic ""Gaudeamus"", (tel. 022 331067)",31
31/5,"Liceul Teoretic ""Dacia"", (tel. 022 426256)",31
31/6,"Liceul Teoretic ""Dacia"", (tel. 022 426256)",31
31/7,"Teatrul municipal “Guguţă"", (tel. 022 473525)",31
31/8,"Gimnaziul ""Steliana Grama"", (tel. 022 471061)",31
31/9,"Gimnaziul ""Steliana Grama"", (tel. 022 471061)",31
31/10,"S.A. ""Nufărul"", (tel. 022 475168)",31
31/11,"S.A. ""Transenergoreparaţia"" , (tel. 022 472010)",31
31/12,"Şcoala primară nr.82, (tel. 022 477160)",31
31/13,"Grădiniţa de copii nr.67, (tel. 022 473473)",31
31/14,"Grădiniţa de copii nr.177 , str. Voluntarilor, 14/3, (tel. 022 471582)",31
31/15,"Centrul medicilor de familie nr.9, (tel. 022 471614)",31
31/16,"Colegiul Tehnic, (tel. 022 470500)",31
31/17,"S.A. ""Macon"", (tel. 022 405863)",31
31/18,"Universitatea de Stat de Educaţie Fizică şi Sport, (tel. 022 310234)",31
31/19,"Liceul Teoretic ""Mihail Sadoveanu"", (tel. 022 443278)",31
31/20,"Cantina ""Râşcani"", (tel. 022 440210)",31
31/21,"Centrul de Creaţie Tehnică pentru Copii şi Tineret, (tel. 022 440011)",31
31/22,"S.A. ""Termoelectrica"", (tel. 022 436306)",31
31/23,"Liceul-internat Republican de Muzică ""Ciprian Porumbescu"", (tel. 022 440154)",31
31/24,"Asociaţia Medicală Teritorială Rîşcani, (tel. 022 443531)",31
31/25,"Liceul Teoretic ""Alecu Russo"", (tel. 022 927127)",31
31/26,"Liceul Teoretic ""Lucian Blaga"", (tel. 022 445226)",31
31/27,"Liceul Teoretic ""Lucian Blaga"", (tel. 022 444126)",31
